permissions|ix_permissions_key|CREATE UNIQUE INDEX ix_permissions_key ON public.permissions USING btree (key)
permissions|permissions_pkey|CREATE UNIQUE INDEX permissions_pkey ON public.permissions USING btree (id)
projects|ix_projects_area_id|CREATE INDEX ix_projects_area_id ON public.projects USING btree (area_id)
projects|ix_projects_created_at|CREATE INDEX ix_projects_created_at ON public.projects USING btree (created_at)
projects|ix_projects_developer_id|CREATE INDEX ix_projects_developer_id ON public.projects USING btree (developer_id)
projects|ix_projects_name|CREATE INDEX ix_projects_name ON public.projects USING btree (name)
projects|ix_projects_slug|CREATE UNIQUE INDEX ix_projects_slug ON public.projects USING btree (slug)
projects|projects_pkey|CREATE UNIQUE INDEX projects_pkey ON public.projects USING btree (id)
properties|ix_properties_area_id|CREATE INDEX ix_properties_area_id ON public.properties USING btree (area_id)
properties|ix_properties_developer_id|CREATE INDEX ix_properties_developer_id ON public.properties USING btree (developer_id)
properties|ix_properties_project_id|CREATE INDEX ix_properties_project_id ON public.properties USING btree (project_id)
properties|ix_properties_slug|CREATE UNIQUE INDEX ix_properties_slug ON public.properties USING btree (slug)
properties|ix_properties_source_id|CREATE UNIQUE INDEX ix_properties_source_id ON public.properties USING btree (source_id)
properties|properties_pkey|CREATE UNIQUE INDEX properties_pkey ON public.properties USING btree (id)
property_import_audits|ix_property_import_audits_admin_email|CREATE INDEX ix_property_import_audits_admin_email ON public.property_import_audits USING btree (admin_email)
property_import_audits|ix_property_import_audits_created_at|CREATE INDEX ix_property_import_audits_created_at ON public.property_import_audits USING btree (created_at)
property_import_audits|ix_property_import_audits_file_sha256|CREATE INDEX ix_property_import_audits_file_sha256 ON public.property_import_audits USING btree (file_sha256)
property_import_audits|property_import_audits_pkey|CREATE UNIQUE INDEX property_import_audits_pkey ON public.property_import_audits USING btree (id)
refresh_tokens|ix_refresh_tokens_expires_at|CREATE INDEX ix_refresh_tokens_expires_at ON public.refresh_tokens USING btree (expires_at)
refresh_tokens|ix_refresh_tokens_token_hash|CREATE UNIQUE INDEX ix_refresh_tokens_token_hash ON public.refresh_tokens USING btree (token_hash)
refresh_tokens|ix_refresh_tokens_user_id|CREATE INDEX ix_refresh_tokens_user_id ON public.refresh_tokens USING btree (user_id)
refresh_tokens|refresh_tokens_pkey|CREATE UNIQUE INDEX refresh_tokens_pkey ON public.refresh_tokens USING btree (id)
role_permissions|ix_role_permissions_permission_id|CREATE INDEX ix_role_permissions_permission_id ON public.role_permissions USING btree (permission_id)
role_permissions|ix_role_permissions_role_id|CREATE INDEX ix_role_permissions_role_id ON public.role_permissions USING btree (role_id)
role_permissions|role_permissions_pkey|CREATE UNIQUE INDEX role_permissions_pkey ON public.role_permissions USING btree (id)
role_permissions|uq_role_permissions_role_permission|CREATE UNIQUE INDEX uq_role_permissions_role_permission ON public.role_permissions USING btree (role_id, permission_id)
roles|ix_roles_name|CREATE UNIQUE INDEX ix_roles_name ON public.roles USING btree (name)
roles|roles_pkey|CREATE UNIQUE INDEX roles_pkey ON public.roles USING btree (id)
seller_submissions|ix_seller_submissions_created_at|CREATE INDEX ix_seller_submissions_created_at ON public.seller_submissions USING btree (created_at)
seller_submissions|ix_seller_submissions_email|CREATE INDEX ix_seller_submissions_email ON public.seller_submissions USING btree (email)
seller_submissions|ix_seller_submissions_status|CREATE INDEX ix_seller_submissions_status ON public.seller_submissions USING btree (status)
seller_submissions|seller_submissions_pkey|CREATE UNIQUE INDEX seller_submissions_pkey ON public.seller_submissions USING btree (id)
user_roles|ix_user_roles_role_id|CREATE INDEX ix_user_roles_role_id ON public.user_roles USING btree (role_id)
user_roles|ix_user_roles_user_id|CREATE INDEX ix_user_roles_user_id ON public.user_roles USING btree (user_id)
user_roles|uq_user_roles_user_role|CREATE UNIQUE INDEX uq_user_roles_user_role ON public.user_roles USING btree (user_id, role_id)
user_roles|user_roles_pkey|CREATE UNIQUE INDEX user_roles_pkey ON public.user_roles USING btree (id)
users|ix_users_email|CREATE UNIQUE INDEX ix_users_email ON public.users USING btree (email)
users|users_pkey|CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
viewings|ix_viewings_created_at|CREATE INDEX ix_viewings_created_at ON public.viewings USING btree (created_at)
viewings|ix_viewings_inquiry_id|CREATE INDEX ix_viewings_inquiry_id ON public.viewings USING btree (inquiry_id)
viewings|ix_viewings_scheduled_at|CREATE INDEX ix_viewings_scheduled_at ON public.viewings USING btree (scheduled_at)
viewings|viewings_pkey|CREATE UNIQUE INDEX viewings_pkey ON public.viewings USING btree (id)
